district,candidate,party,total_votes,won
New Jersey's 4th district,Hank Schroeder,IND,3170,FALSE
New Jersey's 4th district,Michael Rufo,LIB,2548,FALSE
New Jersey's 4th district,Andrew Pachuta,IND,2049,FALSE
New Jersey's 5th district,Joshua Gottheimer,DEM,225136,TRUE
New Jersey's 5th district,Frank Pallotta,REP,193251,FALSE
New Jersey's 5th district,Louis Vellucci,IND,5126,FALSE
New Jersey's 6th district,Frank Pallone,DEM,199648,TRUE
New Jersey's 6th district,Christian Onuoha,REP,126760,FALSE
New Jersey's 7th district,Tom Malinowski,DEM,219629,TRUE
New Jersey's 7th district,Thomas Kean,REP,214316,FALSE
New Jersey's 8th district,Albio Sires,DEM,144050,TRUE
New Jersey's 8th district,Jason Mushnick,REP,42967,FALSE
New Jersey's 8th district,Dan Delaney,LIB,2368,FALSE
New Jersey's 9th district,Bill Pascrell,DEM,201190,TRUE
New Jersey's 9th district,Billy Prempeh,REP,96694,FALSE
New Jersey's 9th district,Chris Auriemma,IND,7070,FALSE
New Jersey's 10th district,Donald Payne,DEM,228055,TRUE
New Jersey's 10th district,Jennifer Zinone,REP,35740,FALSE
New Jersey's 10th district,Akil Khalfani,IND,3166,FALSE
New Jersey's 10th district,Khaliah Fitchette,IND,3129,FALSE
New Jersey's 10th district,John Mirrione,LIB,1018,FALSE
New Jersey's 11th district,Mikie Sherrill,DEM,235135,TRUE
New Jersey's 11th district,Rosemary Becchi,REP,205970,FALSE
New Jersey's 12th district,Bonnie Watson Coleman,DEM,230883,TRUE
New Jersey's 12th district,Mark Razzoli,REP,114591,FALSE
New Jersey's 12th district,Edward Forchion,IND,4512,FALSE
New Jersey's 12th district,Kenneth Cody,IND,1739,FALSE
New Mexico's 1st district,Debra Haaland,DEM,186953,TRUE
New Mexico's 1st district,Michelle Garcia Holmes,REP,134337,FALSE
New Mexico's 2nd district,Yvette Herrell,REP,142283,TRUE
New Mexico's 2nd district,Xochitl Torres Small,DEM,122546,FALSE
New Mexico's 2nd district, Write-ins,WRI,117,FALSE
New Mexico's 3rd district,Teresa Leger Fernandez,DEM,186282,TRUE
New Mexico's 3rd district,Alexis Johnson,REP,131166,FALSE
New York's 1st district,Lee Zeldin,REP,205715,TRUE
New York's 1st district,Nancy Goroff,DEM,169294,FALSE
New York's 1st district, Write-ins,WRI,99,FALSE
New York's 2nd district,Andrew Garbarino,REP,177379,TRUE
New York's 2nd district,Jackie Gordon,DEM,154246,FALSE
New York's 2nd district,Harry Burger,GRN,3448,FALSE
New York's 2nd district, Write-ins,WRI,90,FALSE
New York's 3rd district,Thomas Suozzi,DEM,208555,TRUE
New York's 3rd district,George Santos,REP,161931,FALSE
New York's 3rd district,Howard Rabin,LIB,2156,FALSE
New York's 3rd district, Write-ins,WRI,139,FALSE
New York's 4th district,Kathleen Rice,DEM,199762,TRUE
New York's 4th district,Douglas Tuman,REP,153007,FALSE
New York's 4th district,Joseph Naham,GRN,3024,FALSE
New York's 4th district, Write-ins,WRI,119,FALSE
New York's 5th district,Gregory Meeks,DEM,229125,TRUE
New York's 5th district, Write-ins,WRI,1554,FALSE
New York's 6th district,Grace Meng,DEM,158862,TRUE
New York's 6th district,Thomas Zmich,REP,74829,FALSE
New York's 6th district, Write-ins,WRI,223,FALSE
New York's 7th district,Nydia Velazquez,DEM,191073,TRUE
New York's 7th district,Brian Kelly,REP,32520,FALSE
New York's 7th district,Gilbert Midonnet,LIB,1522,FALSE
New York's 7th district, Write-ins,WRI,338,FALSE
New York's 8th district,Hakeem Jeffries,DEM,234933,TRUE
New York's 8th district,Garfield Wallace,REP,42007,FALSE
New York's 8th district, Write-ins,WRI,229,FALSE
New York's 9th district,Yvette Clarke,DEM,230221,TRUE
New York's 9th district,Constantin Jean-Pierre,REP,43950,FALSE
New York's 9th district,Gary Popkin,LIB,1644,FALSE
New York's 9th district,Joel Anabilah-Azumah,SAM,1052,FALSE
New York's 9th district, Write-ins,WRI,381,FALSE
New York's 10th district,Jerrold Nadler,DEM,206310,TRUE
New York's 10th district,Cathy Bernstein,REP,66889,FALSE
New York's 10th district,Michael Madrid,LIB,3370,FALSE
New York's 10th district, Write-ins,WRI,407,FALSE
New York's 11th district,Nicole Malliotakis,REP,155608,TRUE
New York's 11th district,Max Rose,DEM,137198,FALSE
New York's 11th district, Write-ins,WRI,508,FALSE
New York's 12th district,Carolyn Maloney,DEM,265172,TRUE
New York's 12th district,Carlos Santiago-Cano,REP,53061,FALSE
New York's 12th district,Steven Kolln,LIB,4015,FALSE
New York's 12th district, Write-ins,WRI,773,FALSE
New York's 13th district,Adriano Espaillat,DEM,231841,TRUE
New York's 13th district,Lovelynn Gwinn,REP,19829,FALSE
New York's 13th district,Christopher Morris-Perry,CON,3295,FALSE
New York's 13th district, Write-ins,WRI,405,FALSE
New York's 14th district,Alexandria Ocasio-Cortez,DEM,152661,TRUE
New York's 14th district,John Cummings,REP,58440,FALSE
New York's 14th district,Michelle Caruso-Cabrera,SAM,2000,FALSE
New York's 14th district, Write-ins,WRI,222,FALSE
New York's 15th district,Ritchie Torres,DEM,169533,TRUE
New York's 15th district,Patrick Delices,REP,21221,FALSE
New York's 15th district, Write-ins,WRI,283,FALSE
New York's 16th district,Jamaal Bowman,DEM,218471,TRUE
New York's 16th district,Patrick Mcmanus,CON,41085,FALSE
New York's 16th district, Write-ins,WRI,414,FALSE
New York's 17th district,Mondaire Jones,DEM,197353,TRUE
New York's 17th district,Maureen McArdle Schulman,REP,117307,FALSE
New York's 17th district,Yehudis Gottesfeld,CON,8887,FALSE
New York's 17th district,Josh Eisen,ECL,6363,FALSE
New York's 17th district,Michael Parietti,SAM,2745,FALSE
New York's 17th district, Write-ins,WRI,197,FALSE
New York's 18th district,Sean Maloney,DEM,187169,TRUE
New York's 18th district,Chele Farley,REP,145098,FALSE
New York's 18th district,Scott Smith,LIB,3162,FALSE
New York's 18th district, Write-ins,WRI,116,FALSE
New York's 19th district,Antonio Delgado,DEM,192100,TRUE
New York's 19th district,Kyle Van De Water,REP,151475,FALSE
New York's 19th district,Victoria Alexander,LIB,4224,FALSE
New York's 19th district,Steven Greenfield,GRN,2799,FALSE
New York's 19th district, Write-ins,WRI,2173,FALSE
New York's 20th district,Paul Tonko,DEM,219705,TRUE
New York's 20th district,Elizabeth Joy,REP,139446,FALSE
New York's 20th district, Write-ins,WRI,191,FALSE
New York's 21st district,Elise Stefanik,REP,188649,TRUE
New York's 21st district,Tedra Cobb,DEM,131992,FALSE
New York's 21st district, Write-ins,WRI,138,FALSE
New York's 22nd district,Claudia Tenney,REP,150048,TRUE
New York's 22nd district,Anthony Brindisi,DEM,140933,FALSE
New York's 22nd district,Keith Price,LIB,6421,FALSE
New York's 22nd district, Write-ins,WRI,131,FALSE
New York's 23rd district,Tom Reed,REP,181060,TRUE
New York's 23rd district,Tracy Mitrano,DEM,129014,FALSE
New York's 23rd district,Andrew Kolstee,LIB,3650,FALSE
New York's 23rd district, Write-ins,WRI,118,FALSE
New York's 24th district,John Katko,REP,182567,TRUE
New York's 24th district,Dana Balter,DEM,147638,FALSE
New York's 24th district,Steven Williams,WFL,13232,FALSE
New York's 24th district, Write-ins,WRI,187,FALSE
New York's 25th district,Joseph Morelle,DEM,206396,TRUE
New York's 25th district,George Mitris,REP,136198,FALSE
New York's 25th district,Kevin Wilson,LIB,5325,FALSE
New York's 25th district, Write-ins,WRI,179,FALSE
New York's 26th district,Brian Higgins,DEM,223276,TRUE
New York's 26th district,Ricky Donovan,REP,91687,FALSE
New York's 26th district,Mike Raleigh,GRN,4628,FALSE
New York's 26th district, Write-ins,WRI,244,FALSE
New York's 27th district,Chris Jacobs,REP,229044,TRUE
New York's 27th district,Nate McMurray,DEM,149559,FALSE
New York's 27th district,Duane Whitmer,LIB,4884,FALSE
New York's 27th district, Write-ins,WRI,121,FALSE
North Carolina's 1st district,G.K. Butterfield,DEM,188870,TRUE
North Carolina's 1st district,Sandy Smith,REP,159748,FALSE
North Carolina's 2nd district,Deborah Ross,DEM,311887,TRUE
North Carolina's 2nd district,Alan Swain,REP,172544,FALSE
North Carolina's 2nd district,Jeff Matemu,LIB,10914,FALSE
North Carolina's 3rd district,Greg Murphy,REP,229800,TRUE
North Carolina's 3rd district,Darryl Farrow,DEM,132752,FALSE
North Carolina's 4th district,David Price,DEM,332421,TRUE
North Carolina's 4th district,Robert Thomas,REP,161298,FALSE
North Carolina's 5th district,Virginia Foxx,REP,257843,TRUE
North Carolina's 5th district,David Brown,DEM,119846,FALSE
North Carolina's 5th district,Jeff Gregory,CST,7555,FALSE
North Carolina's 6th district,Kathy Manning,DEM,253531,TRUE
North Carolina's 6th district,Lee Haywood,REP,153598,FALSE
North Carolina's 7th district,David Rouzer,REP,272443,TRUE
North Carolina's 7th district,Christopher Ward,DEM,179045,FALSE
North Carolina's 8th district,Richard Hudson,REP,202774,TRUE
North Carolina's 8th district,Patricia Timmons-Goodson,DEM,177781,FALSE
North Carolina's 9th district,Dan Bishop,REP,224661,TRUE
North Carolina's 9th district,Cynthia Wallace,DEM,179463,FALSE
North Carolina's 10th district,Patrick McHenry,REP,284095,TRUE
North Carolina's 10th district,David Parker,DEM,128189,FALSE
North Carolina's 11th district,Madison Cawthorn,REP,245351,TRUE
North Carolina's 11th district,Moe Davis,DEM,190609,FALSE
North Carolina's 11th district,Tracey Debruhl,LIB,8682,FALSE
North Carolina's 11th district,Tamara Zwinak,GRN,5503,FALSE
North Carolina's 12th district,Alma Adams,DEM,341457,TRUE
North Carolina's 13th district,Ted Budd,REP,267181,TRUE
North Carolina's 13th district,Scott Huffman,DEM,124684,FALSE
North Dakota at large,Kelly Armstrong,REP,245229,TRUE
North Dakota at large,Zach Raknerud,DEM,97970,FALSE
North Dakota at large,Steven Peterson,LIB,12024,FALSE
Ohio's 1st district,Steve Chabot,REP,199560,TRUE
Ohio's 1st district,Kate Schroder,DEM,172022,FALSE
Ohio's 1st district,Kevin Kahn,LIB,13692,FALSE
Ohio's 1st district, Write-ins,WRI,11,FALSE
Ohio's 2nd district,Brad Wenstrup,REP,230430,TRUE
Ohio's 2nd district,Jaime Castle,DEM,146781,FALSE
Ohio's 2nd district, Write-ins,WRI,37,FALSE
Ohio's 3rd district,Joyce Beatty,DEM,227420,TRUE
Ohio's 3rd district,Mark Richardson,REP,93569,FALSE
Ohio's 3rd district, Write-ins,WRI,103,FALSE
Ohio's 4th district,Jim Jordan,REP,235875,TRUE
Ohio's 4th district,Shannon Freshour,DEM,101897,FALSE
Ohio's 4th district,Steve Perkins,LIB,9854,FALSE
Ohio's 5th district,Bob Latta,REP,257019,TRUE
Ohio's 5th district,Nick Rubando,DEM,120962,FALSE
Ohio's 6th district,Bill Johnson,REP,249130,TRUE
Ohio's 6th district,Shawna Roberts,DEM,85661,FALSE
Ohio's 7th district,Bob Gibbs,REP,236607,TRUE
Ohio's 7th district,Quentin Potter,DEM,102271,FALSE
Ohio's 7th district,Brandon Lape,LIB,11671,FALSE
Ohio's 8th district,Warren Davidson,REP,246277,TRUE
Ohio's 8th district,Vanessa Enoch,DEM,110766,FALSE
Ohio's 8th district, Write-ins,WRI,114,FALSE
Ohio's 9th district,Marcy Kaptur,DEM,190328,TRUE
Ohio's 9th district,Rob Weber,REP,111385,FALSE
Ohio's 9th district, Write-ins,WRI,39,FALSE
Ohio's 10th district,Mike Turner,REP,212972,TRUE
Ohio's 10th district,Desiree Tims,DEM,151976,FALSE
Ohio's 11th district,Marcia Fudge,DEM,242098,TRUE
Ohio's 11th district,Laverne Gore,REP,60323,FALSE
Ohio's 12th district,Troy Balderson,REP,241790,TRUE
Ohio's 12th district,Alaina Shearer,DEM,182847,FALSE
Ohio's 12th district,John Stewart,LIB,13035,FALSE
Ohio's 13th district,Tim Ryan,DEM,173631,TRUE
Ohio's 13th district,Christina Hagan,REP,148648,FALSE
Ohio's 13th district,Michael Fricke,LIB,8522,FALSE
Ohio's 14th district,David Joyce,REP,238864,TRUE
Ohio's 14th district,Hillary O'Connor Mueri,DEM,158586,FALSE
Ohio's 15th district,Steve Stivers,REP,243103,TRUE
Ohio's 15th district,Joel Newby,DEM,140183,FALSE
Ohio's 15th district, Write-ins,WRI,75,FALSE
Ohio's 16th district,Anthony Gonzalez,REP,247335,TRUE
Ohio's 16th district,Aaron Godfrey,DEM,144071,FALSE
Oklahoma's 1st district,Kevin Hern,REP,213700,TRUE
Oklahoma's 1st district,Kojo Asamoa-Caesar,DEM,109641,FALSE
Oklahoma's 1st district,Evelyn Rogers,IND,12130,FALSE
Oklahoma's 2nd district,Markwayne Mullin,REP,216511,TRUE
Oklahoma's 2nd district,Danyell Lanier,DEM,63472,FALSE
Oklahoma's 2nd district,Richard Castaldo,LIB,8544,FALSE
Oklahoma's 3rd district,Frank Lucas,REP,242677,TRUE
Oklahoma's 3rd district,Zoe Midyett,DEM,66501,FALSE
Oklahoma's 4th district,Tom Cole,REP,213096,TRUE
Oklahoma's 4th district,Mary Brannon,DEM,90459,FALSE
Oklahoma's 4th district,Bob White,LIB,10803,FALSE
Oklahoma's 5th district,Stephanie Bice,REP,158191,TRUE
Oklahoma's 5th district,Kendra Horn,DEM,145658,FALSE
Oregon's 1st district,Suzanne Bonamici,DEM,297071,TRUE
Oregon's 1st district,Christopher Christensen,REP,161928,FALSE
Oregon's 2nd district,Cliff Bentz,REP,273835,TRUE
Oregon's 2nd district,Alex Spenser,DEM,168881,FALSE
Oregon's 2nd district,Robert Werch,LIB,14094,FALSE
Oregon's 3rd district,Earl Blumenauer,DEM,343574,TRUE
Oregon's 3rd district,Joanna Harbour,REP,110570,FALSE
Oregon's 3rd district,Alex DiBlasi,GRN,8872,FALSE
Oregon's 3rd district,Josh Solomon,LIB,6869,FALSE
Oregon's 4th district,Peter DeFazio,DEM,240950,TRUE
Oregon's 4th district,Alek Skarlatos,REP,216081,FALSE
Oregon's 4th district,Daniel Hoffay,PAG,10118,FALSE
Oregon's 5th district,Kurt Schrader,DEM,234863,TRUE
Oregon's 5th district,Amy Ryan Courser,REP,204372,FALSE
Oregon's 5th district,Matthew Rix,LIB,12640,FALSE
Pennsylvania's 1st district,Brian Fitzpatrick,REP,249804,TRUE
Pennsylvania's 1st district,Christina Finello,DEM,191875,FALSE
Pennsylvania's 2nd district,Brendan Boyle,DEM,198268,TRUE
Pennsylvania's 2nd district,David Torres,REP,75083,FALSE
Pennsylvania's 3rd district,Dwight Evans,DEM,341922,TRUE
Pennsylvania's 3rd district,Michael Harvey,REP,33728,FALSE
Pennsylvania's 4th district,Madeleine Dean,DEM,264638,TRUE
Pennsylvania's 4th district,Kathy Barnette,REP,179926,FALSE
Pennsylvania's 5th district,Mary Gay Scanlon,DEM,256021,TRUE
Pennsylvania's 5th district,Dasha Pruett,REP,139686,FALSE
Pennsylvania's 6th district,Chrissy Houlahan,DEM,226440,TRUE
Pennsylvania's 6th district,John Emmons,REP,177526,FALSE
Pennsylvania's 7th district,Susan Wild,DEM,197907,TRUE
Pennsylvania's 7th district,Lisa Scheller,REP,181744,FALSE
Pennsylvania's 8th district,Matt Cartwright,DEM,178442,TRUE
Pennsylvania's 8th district,Jim Bognet,REP,166229,FALSE
Pennsylvania's 9th district,Daniel Meuser,REP,233076,TRUE
Pennsylvania's 9th district,Gary Wegman,DEM,118315,FALSE
Pennsylvania's 10th district,Scott Perry,REP,208896,TRUE
Pennsylvania's 10th district,Eugene DePasquale,DEM,182938,FALSE
Pennsylvania's 11th district,Lloyd Smucker,REP,241915,TRUE
Pennsylvania's 11th district,Sarah Hammond,DEM,141325,FALSE
Pennsylvania's 12th district,Fred Keller,REP,241069,TRUE
Pennsylvania's 12th district,Lee Griffin,DEM,99220,FALSE
Pennsylvania's 13th district,John Joyce,REP,267910,TRUE
Pennsylvania's 13th district,Todd Rowley,DEM,96722,FALSE
Pennsylvania's 14th district,Guy Reschenthaler,REP,241760,TRUE
Pennsylvania's 14th district,William Marx,DEM,131930,FALSE
Pennsylvania's 15th district,Glenn Thompson,REP,255064,TRUE
Pennsylvania's 15th district,Robert Williams,DEM,92158,FALSE
Pennsylvania's 16th district,Mike Kelly,REP,210146,TRUE
Pennsylvania's 16th district,Kristy Gnibus,DEM,144001,FALSE
Pennsylvania's 17th district,Conor Lamb,DEM,222253,TRUE
Pennsylvania's 17th district,Sean Parnell,REP,212284,FALSE
Pennsylvania's 18th district,Mike Doyle,DEM,266084,TRUE
Pennsylvania's 18th district,Luke Negron,REP,118163,FALSE
Rhode Island's 1st district,David Cicilline,DEM,158550,TRUE
Rhode Island's 1st district,Frederick Wysocki,IND,35457,FALSE
Rhode Island's 1st district,Jeffrey Lemire,IND,28300,FALSE
Rhode Island's 2nd district,Jim Langevin,DEM,154086,TRUE
Rhode Island's 2nd district,Robert Lancia,REP,109894,FALSE
South Carolina's 1st district,Nancy Mace,REP,216042,TRUE
South Carolina's 1st district,Joe Cunningham,DEM,210627,FALSE
South Carolina's 2nd district,Joe Wilson,REP,202715,TRUE
South Carolina's 2nd district,Adair Boroughs,DEM,155118,FALSE
South Carolina's 2nd district,Kathleen Wright,CST,6163,FALSE
South Carolina's 3rd district,Jeff Duncan,REP,237544,TRUE
South Carolina's 3rd district,Hosea Cleveland,DEM,95712,FALSE
South Carolina's 4th district,William Timmons,REP,222126,TRUE
South Carolina's 4th district,Kim Nelson,DEM,133023,FALSE
South Carolina's 4th district,Michael Chandler,CST,5090,FALSE
South Carolina's 5th district,Ralph Norman,REP,220005,TRUE
South Carolina's 5th district,Moe Brown,DEM,145958,FALSE
South Carolina's 6th district,Jim Clyburn,DEM,197477,TRUE
South Carolina's 6th district,John McCollum,REP,89258,FALSE
South Carolina's 6th district,Mark Hackett,CST,2646,FALSE
South Carolina's 7th district,Tom Rice,REP,224993,TRUE
South Carolina's 7th district,Melissa Watson,DEM,138863,FALSE
South Dakota at large,Dusty Johnson,REP,321984,TRUE
South Dakota at large,Randy Luallin,LIB,75748,FALSE
Tennessee's 1st district,Diana Harshbarger,REP,227838,TRUE
Tennessee's 1st district,Blair Walsingham,DEM,68211,FALSE
Tennessee's 1st district,Steve Holder,IND,8602,FALSE
Tennessee's 2nd district,Tim Burchett,REP,238447,TRUE
Tennessee's 2nd district,Renee Hoyos,DEM,109298,FALSE
Tennessee's 2nd district,Matthew Campbell,IND,4574,FALSE
Tennessee's 3rd district,Chuck Fleischmann,REP,215318,TRUE
Tennessee's 3rd district,Meg Gorman,DEM,97510,FALSE
Tennessee's 3rd district,Amber Hysell,IND,5034,FALSE
Tennessee's 3rd district,Keith Sweitzer,IND,1988,FALSE
Tennessee's 4th district,Scott DesJarlais,REP,223200,TRUE
Tennessee's 4th district,Christopher Hale,DEM,111238,FALSE
Tennessee's 5th district,Jim Cooper,DEM,250001,TRUE
Tennessee's 6th district,John Rose,REP,257219,TRUE
Tennessee's 6th district,Christopher Finley,DEM,83694,FALSE
Tennessee's 6th district,Christopher Monday,IND,8139,FALSE
Tennessee's 7th district,Mark Green,REP,244623,TRUE
Tennessee's 7th district,Kiran Sreepada,DEM,95743,FALSE
Tennessee's 7th district,Ronald Brown,IND,7588,FALSE
Tennessee's 7th district,Scott Vieira,IND,1998,FALSE
Tennessee's 8th district,David Kustoff,REP,226949,TRUE
Tennessee's 8th district,Erika Pearson,DEM,97561,FALSE
Tennessee's 8th district,James Hart,IND,3758,FALSE
Tennessee's 8th district,Jon Dillard,IND,2983,FALSE
Tennessee's 9th district,Steve Cohen,DEM,187258,TRUE
Tennessee's 9th district,Charlotte Bergmann,REP,48688,FALSE
Tennessee's 9th district,Dennis Clark,IND,3947,FALSE
Tennessee's 9th district,Bobby Lyons,IND,2189,FALSE
Texas's 1st district,Louie Gohmert,REP,219726,TRUE
Texas's 1st district,Hank Gilbert,DEM,83016,FALSE
Texas's 2nd district,Dan Crenshaw,REP,192828,TRUE
Texas's 2nd district,Sima Ladjevardian,DEM,148374,FALSE
Texas's 2nd district,Elliott Scheirman,LIB,5524,FALSE
Texas's 2nd district,Tommy Wakely,GRN,0,FALSE
Texas's 3rd district,Van Taylor,REP,230512,TRUE
Texas's 3rd district,Lulu Seikaly,DEM,179458,FALSE
Texas's 3rd district,Christopher Claytor,LIB,8621,FALSE
Texas's 4th district,Pat Fallon,REP,253837,TRUE
Texas's 4th district,Russell Foster,DEM,76326,FALSE
Texas's 4th district,Lou Antonelli,LIB,6334,FALSE
Texas's 4th district, Write-ins,WRI,1306,FALSE
Texas's 5th district,Lance Gooden,REP,173836,TRUE
Texas's 5th district,Carolyn Salter,DEM,100743,FALSE
Texas's 5th district,Kevin Hale,LIB,5834,FALSE
Texas's 6th district,Ron Wright,REP,179507,TRUE
Texas's 6th district,Stephen Daniel,DEM,149530,FALSE
Texas's 6th district,Melanie Black,LIB,10955,FALSE
Texas's 7th district,Lizzie Fletcher,DEM,159529,TRUE
Texas's 7th district,Wesley Hunt,REP,149054,FALSE
Texas's 7th district,Shawn Kelly,LIB,5542,FALSE
Texas's 8th district,Kevin Brady,REP,277327,TRUE
Texas's 8th district,Elizabeth Hernandez,DEM,97409,FALSE
Texas's 8th district,Chris Duncan,LIB,7735,FALSE
Texas's 9th district,Al Green,DEM,172938,TRUE
Texas's 9th district,Johnny Teague,REP,49575,FALSE
Texas's 9th district,Jose Sosa,LIB,6594,FALSE
Texas's 10th district,Michael McCaul,REP,217216,TRUE
Texas's 10th district,Mike Siegel,DEM,187686,FALSE
Texas's 10th district,Roy Eriksen,LIB,8992,FALSE
Texas's 11th district,August Pfluger,REP,232568,TRUE
Texas's 11th district,Jon Mark Hogg,DEM,53394,FALSE
Texas's 11th district,Wacey Cody,LIB,5811,FALSE
Texas's 12th district,Kay Granger,REP,233853,TRUE
Texas's 12th district,Lisa Welch,DEM,121250,FALSE
Texas's 12th district,Trey Holcomb,LIB,11918,FALSE
Texas's 13th district,Ronny Jackson,REP,217124,TRUE
Texas's 13th district,Gus Trujillo,DEM,50477,FALSE
Texas's 13th district,Jack Westbrook,LIB,5907,FALSE
Texas's 14th district,Randy Weber,REP,190541,TRUE
Texas's 14th district,Adrienne Bell,DEM,118574,FALSE
Texas's 15th district,Vicente Gonzalez,DEM,115605,TRUE
Texas's 15th district,Monica De La Cruz-Hernandez,REP,109017,FALSE
Texas's 15th district,Ross Leone,LIB,4295,FALSE
Texas's 16th district,Veronica Escobar,DEM,154108,TRUE
Texas's 16th district,Irene Armendariz-Jackson,REP,84006,FALSE
Texas's 17th district,Pete Sessions,REP,171390,TRUE
Texas's 17th district,Rick Kennedy,DEM,125565,FALSE
Texas's 17th district,Ted Brown,LIB,9918,FALSE
Texas's 18th district,Sheila Jackson Lee,DEM,180952,TRUE
Texas's 18th district,Wendell Champion,REP,58033,FALSE
Texas's 18th district,Luke Spencer,LIB,4514,FALSE
Texas's 18th district,Vince Duncan,IND,3396,FALSE
Texas's 19th district,Jodey Arrington,REP,198198,TRUE
Texas's 19th district,Tom Watson,DEM,60583,FALSE
Texas's 19th district,Joe Burnes,LIB,6271,FALSE
Texas's 20th district,Joaquin Castro,DEM,175078,TRUE
Texas's 20th district,Mauro Garza,REP,89628,FALSE
Texas's 20th district,Jeffrey Blunt,LIB,6017,FALSE
Texas's 21st district,Chip Roy,REP,235740,TRUE
Texas's 21st district,Wendy Davis,DEM,205780,FALSE
Texas's 21st district,Arthur DiBianca,LIB,8666,FALSE
Texas's 22nd district,Troy Nehls,REP,210259,TRUE
Texas's 22nd district,Sri Kulkarni,DEM,181998,FALSE
Texas's 22nd district,Joseph LeBlanc,LIB,15791,FALSE
Texas's 23rd district,Tony Gonzales,REP,149395,TRUE
Texas's 23rd district,Gina Ortiz Jones,DEM,137693,FALSE
Texas's 23rd district,Beto Villela,LIB,8369,FALSE
Texas's 24th district,Beth Van Duyne,REP,167910,TRUE
Texas's 24th district,Candace Valenzuela,DEM,163326,FALSE
Texas's 24th district,Darren Hamilton,LIB,5647,FALSE
Texas's 24th district,Stephen Kuzmich,IND,4229,FALSE
Texas's 24th district,Mark Bauer,IND,2909,FALSE
Texas's 25th district,Roger Williams,REP,220088,TRUE
Texas's 25th district,Julie Oliver,DEM,165697,FALSE
Texas's 25th district,Bill Kelsey,LIB,7738,FALSE
Texas's 26th district,Michael Burgess,REP,261963,TRUE
Texas's 26th district,Carol Iannuzzi,DEM,161009,FALSE
Texas's 26th district,Mark Boler,LIB,9243,FALSE
Texas's 27th district,Michael Cloud,REP,172305,TRUE
Texas's 27th district,Ricardo De La Fuente,DEM,95466,FALSE
Texas's 27th district,Phil Gray,LIB,5482,FALSE
Texas's 28th district,Henry Cuellar,DEM,137494,TRUE
Texas's 28th district,Sandra Whitten,REP,91925,FALSE
Texas's 28th district,Bekah Congdon,LIB,6425,FALSE
Texas's 29th district,Sylvia Garcia,DEM,111305,TRUE
Texas's 29th district,Jaimy Blanco,REP,42840,FALSE
Texas's 29th district,Phil Kurtz,LIB,2328,FALSE
Texas's 30th district,Eddie Bernice Johnson,DEM,204928,TRUE
Texas's 30th district,Tre Pennie,REP,48685,FALSE
Texas's 30th district,Eric Williams,IND,10851,FALSE
Texas's 31st district,John Carter,REP,212695,TRUE
Texas's 31st district,Donna Imam,DEM,176293,FALSE
Texas's 31st district,Clark Patterson,LIB,8922,FALSE
Texas's 31st district, Write-ins,WRI,177,FALSE
Texas's 32nd district,Colin Allred,DEM,178542,TRUE
Texas's 32nd district,Genevieve Collins,REP,157867,FALSE
Texas's 32nd district,Christy Mowrey Peterson,LIB,4946,FALSE
Texas's 32nd district,Jason Sigmon,IND,2332,FALSE
Texas's 33rd district,Marc Veasey,DEM,105317,TRUE
Texas's 33rd district,Fabian Vasquez,REP,39638,FALSE
Texas's 33rd district,Carlos Quintanilla,IND,8071,FALSE
Texas's 33rd district,Jason Reeves,LIB,2586,FALSE
Texas's 33rd district,Rene Welton,IND,1994,FALSE
Texas's 34th district,Filemon Vela,DEM,111439,TRUE
Texas's 34th district,Rey Gonzalez,REP,84119,FALSE
Texas's 34th district,Anthony Cristo,LIB,3222,FALSE
Texas's 34th district,Chris Royal,IND,2247,FALSE
Texas's 35th district,Lloyd Doggett,DEM,176373,TRUE
Texas's 35th district,Jenny Sharon,REP,80795,FALSE
Texas's 35th district,Mark Loewe,LIB,7393,FALSE
Texas's 35th district,Jason Mata,IND,5236,FALSE
Texas's 36th district,Brian Babin,REP,222712,TRUE
Texas's 36th district,Rashad Lewis,DEM,73418,FALSE
Texas's 36th district,Chad Abbey,LIB,4848,FALSE
Texas's 36th district,Hal Ridley,GRN,1571,FALSE
Utah's 1st district,Blake Moore,REP,237988,TRUE
Utah's 1st district,Darren Parry,DEM,104194,FALSE
Utah's 1st district, Write-ins,WRI,169,FALSE
Utah's 2nd district,Chris Stewart,REP,208997,TRUE
Utah's 2nd district,Kael Weston,DEM,129762,FALSE
Utah's 2nd district,Robert Latham,LIB,15465,FALSE
Utah's 3rd district,John Curtis,REP,246674,TRUE
Utah's 3rd district,Devin Thorpe,DEM,96067,FALSE
Utah's 3rd district,Daniel Cummings,CST,8889,FALSE
Utah's 3rd district,Thomas McNeill,UU,7040,FALSE
Utah's 3rd district, Write-ins,WRI,257,FALSE
Utah's 4th district,Burgess Owens,REP,179688,TRUE
Utah's 4th district,Ben McAdams,DEM,175923,FALSE
Utah's 4th district,John Molnar,LIB,13053,FALSE
Utah's 4th district,Jonia Broderick,UU,8037,FALSE
Utah's 4th district, Write-ins,WRI,29,FALSE
Vermont at large,Peter Welch,DEM,238827,TRUE
Vermont at large,Miram Berry,REP,95830,FALSE
Vermont at large,Peter Becker,IND,8065,FALSE
Vermont at large,Marcia Horne,IND,4334,FALSE
Vermont at large,Christopher Helali,COM,3432,FALSE
Vermont at large,Shawn Orr,IND,1926,FALSE
Vermont at large,Jerry Trudell,IND,1881,FALSE
